"Timestamp","Your Course/ Year","Your current attendance (%) ","Do you feel stressed due to the 75% attendence rule?","Do you think 75% attendence rule is fair?","If your attendance drops below 75%, is it difficult to recover? ","What affects your attendance the most?","What problems do you face in maintaining attendance?","Your average marks (%)"
"2026/04/26 5:40:14 pm GMT+5:30","1st","Below 50%","Sometimes","No","Yes","Health ","Health","Above 80"
"2026/04/26 5:41:14 pm GMT+5:30","Btech first year","50-65%","Yes","No","Yes",".",".","Above 80"
"2026/04/26 5:45:34 pm GMT+5:30","B tech 3rd","65-75%","No","Yes","Yes","Holidays ","Classes","50-65"
"2026/04/26 5:48:19 pm GMT+5:30","BBA / 2nd ","Above 75%","Sometimes","Yes","Not sure","Holidays","Too many classes ","65-80"
"2026/04/26 6:06:02 pm GMT+5:30","Btech Aiml","Below 50%","Yes","No","Yes","Weather ",".","65-80"
"2026/04/26 6:39:51 pm GMT+5:30","Btech 1st year ","50-65%","Yes","No","Yes","Academic workload  ","Stress ","50-65"
"2026/04/26 6:49:09 pm GMT+5:30","Btech ","50-65%","Yes","No","Yes","Studies ","Heavy study workload and exam preparation","Above 80"
"2026/04/26 8:03:27 pm GMT+5:30","LLB 3","Above 75%","Yes","No","Yes","Family obligations ","Health issues","50-65"
"2026/04/26 10:17:26 pm GMT+5:30","2nd yrr","65-75%","Yes","No","Yes","sleep","FIRST LECTURE","50-65"
"2026/04/26 10:17:54 pm GMT+5:30","B Pharma \ 2nd","50-65%","Yes","No","Yes","Sleep","First class","Below 50"
"2026/04/26 10:29:27 pm GMT+5:30","Bba 2nd","Below 50%","No","Yes","No"," Sleeping 😴","Neend ko control Krna ","Above 80"
"2026/04/26 10:29:53 pm GMT+5:30","b.com 2nd year","50-65%","Yes","No","Not sure","sickness",".","65-80"
"2026/04/27 12:17:37 am GMT+5:30","Btech ","65-75%","Yes","No","Yes","Health ","Everything ","65-80"
"2026/04/27 12:22:54 am GMT+5:30","Btech CSE / 2026-27","Above 75%","Sometimes","Yes","No","Health issues","Health issues ","65-80"
